iter	RMSE
175	24939.88044
176	24895.74752
177	24814.9143
178	24752.62582
179	24713.87688
180	24665.24195
181	24588.31679
182	24497.23808
183	24410.98967
184	24375.42531
185	24336.14774
186	24272.09624
187	24196.55353
188	24160.96685
189	24101.79187
190	24036.18823
191	24010.05504
192	23980.37784
193	23925.37681
194	23842.5556
195	23792.04041
196	23760.31438
197	23717.00619
198	23632.94048
199	23591.79194
200	23546.55335
201	23468.24061
202	23424.63577
203	23397.39924
204	23347.23544
205	23337.67782
206	23253.63043
207	23211.26392
208	23122.65705
209	23093.1158
210	23025.9393
211	22995.77535
212	22913.56524
213	22863.92634
214	22829.08702
215	22800.71188
216	22755.9331
217	22720.49074
218	22682.72098
219	22602.7152
220	22547.00141
221	22517.28014
222	22497.93866
223	22472.16546
224	22450.93146
225	22359.87652
226	22323.56449
227	22292.82321
228	22280.26394
229	22255.16362
230	22240.142
231	22216.90834
232	22102.75585
233	22097.84033
234	22082.51429
235	22070.53287
236	21968.4393
237	21856.93376
238	21846.26678
239	21827.95763
240	21770.26024
241	21682.84436
242	21673.52754
243	21618.46009
244	21581.66713
245	21501.96752
246	21464.91085
247	21414.89436
248	21394.85545
249	21332.96625
250	21253.26082
251	21224.08044
252	21208.68164
253	21151.49056
254	21107.13161
255	21090.49565
256	20992.03138
257	20917.05071
258	20880.0361
259	20871.97214
260	20859.61292
261	20831.36138
262	20802.98289
263	20776.80997
264	20738.50818
265	20659.5002
266	20646.75497
267	20611.92713
268	20551.84764
269	20511.14232
270	20454.17011
271	20446.93125
272	20355.05406
273	20295.17785
274	20252.408
275	20242.42314
276	20180.24297
277	20131.44026
278	20125.63934
279	20116.66815
280	20073.1194
281	20048.84941
282	20018.9727
283	19995.38916
284	19932.63387
285	19886.79161
286	19841.55543
287	19808.50062
288	19805.78717
289	19784.88247
290	19712.05955
291	19700.88113
292	19671.11307
293	19617.17197
294	19575.93028
295	19557.76028
296	19527.85197
297	19505.21025
298	19494.41863
299	19451.09807
300	19433.39344
301	19376.73114
302	19338.16504
303	19294.60752
304	19249.25001
305	19192.44881
306	19166.62932
307	19158.76244
308	19133.87505
309	19080.69444
310	19067.14979
311	19040.22132
312	19017.74194
313	18979.39882
314	18917.82984
315	18907.06441
316	18893.69532
317	18834.75502
318	18818.29406
319	18764.6648
320	18721.72078
321	18683.24733
322	18629.49422
323	18592.59478
324	18542.81272
325	18503.19345
326	18484.03529
327	18464.8271
328	18439.36499
329	18430.39948
330	18385.97738
331	18361.9952
332	18317.27198
333	18286.58665
334	18272.09464
335	18237.24695
336	18196.82459
337	18152.01915
338	18082.16343
339	18043.02061
340	18003.93933
341	17961.88805
342	17915.21575
343	17896.15891
344	17834.0373
345	17805.48325
346	17795.75367
347	17776.82505
348	17740.55987
349	17701.63373
350	17690.13198
351	17666.38891
352	17651.72794
353	17604.37194
354	17577.4798
355	17568.12197
356	17551.16148
357	17490.32426
358	17450.93711
359	17414.94325
360	17399.23375
361	17385.9072
362	17375.45271
363	17297.87621
364	17285.64756
365	17249.6117
366	17209.31661
367	17166.08357
368	17112.10484
369	17074.36423
370	17063.96972
371	17026.43971
372	16962.23957
373	16948.97676
374	16928.32904
375	16901.53229
376	16858.80892
377	16827.09432
378	16791.40425
379	16765.74637
380	16701.80913
381	16680.7399
382	16669.78588
383	16657.60019
384	16603.59627
385	16584.81915
386	16573.22092
387	16562.25189
388	16525.29939
389	16433.77136
390	16401.08823
391	16380.92759
392	16376.74141
393	16371.76229
394	16358.95027
395	16326.282
396	16252.92704
397	16247.5982
398	16244.74786
399	16231.37596
400	16210.51898
401	16198.21216
402	16152.75209
403	16101.89875
404	16080.88275
405	16073.55722
406	16060.98779
407	16018.69372
408	16005.20321
409	15978.71203
410	15948.03682
411	15929.86609
412	15918.48077
413	15895.68793
414	15845.88971
415	15825.63856
416	15782.15377
417	15760.56377
418	15730.22874
419	15724.4988
420	15700.45325
421	15671.1371
422	15617.16278
423	15593.00693
424	15551.68932
425	15540.53994
426	15509.37967
427	15481.41103
428	15458.27024
429	15433.77941
430	15404.50028
431	15386.00536
432	15328.21323
433	15297.58438
434	15278.72728
435	15241.91589
436	15216.29537
437	15201.50274
438	15192.59498
439	15151.23316
440	15140.82973
441	15126.91114
442	15121.31135
443	15077.81479
444	15072.52349
445	15053.63863
446	15042.35362
447	15011.84029
448	14998.77967
449	14983.67341
450	14972.36449
451	14943.21494
452	14935.9271
453	14914.8811
454	14872.24866
455	14839.59724
456	14833.9246
457	14827.43267
458	14788.132
459	14742.57973
460	14735.66738
461	14683.50711
462	14641.0509
463	14623.03194
464	14594.50519
465	14547.11773
466	14533.29032
467	14486.08786
468	14456.06481
469	14449.60243
470	14414.92867
471	14399.90665
472	14357.70228
473	14315.20189
474	14278.9322
475	14261.44603
476	14219.45393
477	14214.96596
478	14189.05264
479	14176.71133
480	14140.30756
481	14111.87496
482	14088.87636
483	14084.58665
484	14062.0338
485	14057.1772
486	14016.53197
487	13988.55542
488	13950.22628
489	13943.8985
490	13919.81902
491	13904.76605
492	13899.2931
493	13847.27402
494	13823.63979
495	13804.67457
496	13795.78485
497	13789.11877
498	13760.29362
499	13744.6746
500	13735.33266
501	13727.84383
502	13703.51128
503	13679.96903
504	13651.99905
505	13608.98372
506	13573.60836
507	13550.9401
508	13546.07845
509	13498.02317
510	13479.37664
511	13456.56566
512	13449.40285
513	13439.9219
514	13420.48693
515	13418.88178
516	13406.24476
517	13387.13948
518	13370.61314
519	13336.92023
520	13328.19857
521	13298.67957
522	13273.11791
523	13251.80689
524	13236.15857
525	13195.37121
526	13188.91275
527	13167.75214
528	13148.30177
529	13138.12385
530	13132.39437
531	13121.50799
532	13096.59499
533	13085.48096
534	13080.61726
535	13046.73508
536	13010.45336
537	13004.78518
538	12977.87947
539	12958.47011
540	12938.80175
541	12936.62702
542	12921.27283
543	12912.93739
544	12891.71852
545	12880.0214
546	12843.09349
547	12827.35387
548	12797.66192
549	12791.72517
550	12765.16282
551	12743.0388
552	12716.88056
553	12670.64738
554	12644.30437
555	12638.05576
556	12629.6519
557	12625.71813
558	12618.75581
559	12596.75207
560	12591.11369
561	12539.94608
562	12525.13895
563	12510.24295
564	12508.06663
565	12505.94038
566	12488.07855
567	12472.70094
568	12469.20068
569	12429.75686
570	12420.05405
571	12413.2239
572	12410.65216
573	12406.2336
574	12366.87957
575	12330.68621
576	12329.48612
577	12319.4278
578	12316.98724
579	12288.77433
580	12281.24786
581	12268.93986
582	12225.16399
583	12219.65734
584	12194.36906
585	12191.69829
586	12187.12672
587	12151.01247
588	12133.21704
589	12130.08892
590	12112.95369
591	12093.96632
592	12080.5963
593	12077.84675
594	12050.3599
595	12037.18622
596	12032.10357
597	12024.66544
598	11998.58771
599	11982.8207
600	11980.52632
601	11960.07973
602	11952.46156
603	11944.67703
604	11927.78872
605	11897.37475
606	11894.08268
607	11889.78833
608	11887.63735
609	11880.53414
610	11879.72035
611	11863.36999
612	11858.42176
613	11847.13847
614	11840.21781
615	11832.20505
616	11811.64572
617	11810.6148
618	11789.39454
619	11788.34447
620	11763.63243
621	11734.04795
622	11726.55634
623	11718.24159
624	11705.99182
625	11670.16502
626	11660.17408
627	11629.58846
628	11609.97472
629	11593.6176
630	11587.94336
631	11577.90244
632	11576.4908
633	11574.42629
634	11568.53181
635	11542.59295
636	11521.7253
637	11510.70215
638	11497.59209
639	11495.17631
640	11493.0581
641	11482.57029
642	11471.39779
643	11451.19332
644	11432.2033
645	11416.18226
646	11393.43198
647	11381.70605
648	11372.81294
649	11338.66172
650	11321.88138
651	11320.5619
652	11318.6505
653	11317.43171
654	11304.9212
655	11291.59836
656	11287.50336
657	11275.45497
658	11273.14864
659	11239.62028
660	11217.78521
661	11194.51188
662	11191.08052
663	11182.03507
664	11160.76613
665	11119.52878
666	11089.55865
667	11068.81268
668	11051.15994
669	11040.56166
670	11039.76933
671	11036.99169
672	11031.19089
673	11022.1857
674	10996.86366
675	10987.36543
676	10978.01845
677	10955.48774
678	10939.80394
679	10918.7179
680	10899.73945
681	10880.60577
682	10862.07182
683	10851.63526
684	10834.8462
685	10803.62949
686	10791.86049
687	10783.29121
688	10771.45695
689	10762.33876
690	10749.57923
691	10729.54349
692	10707.77212
693	10702.40391
694	10681.62414
695	10665.18848
696	10639.94213
697	10612.82831
698	10588.47325
699	10565.63397
700	10543.2609
701	10513.22
702	10483.03016
703	10478.7239
704	10472.56392
705	10439.1993
706	10424.15496
707	10414.27299
708	10382.37111
709	10378.56606
710	10372.27434
711	10361.58361
712	10322.0367
713	10320.33934
714	10318.67654
715	10301.44027
716	10274.09673
717	10263.6432
718	10254.11896
719	10252.00755
720	10231.78513
721	10198.04546
722	10181.42889
723	10166.77068
724	10157.29577
725	10148.31729
726	10129.69015
727	10109.08821
728	10096.96855
729	10081.66355
730	10059.52095
731	10044.77263
732	10034.82774
733	10017.05192
734	10012.50732
735	10010.75496
736	9983.835214
737	9970.775009
738	9953.014541
739	9947.594785
740	9939.336451
741	9902.93216
742	9897.924334
743	9870.029677
744	9845.027276
745	9821.267822
746	9812.212236
747	9810.623145
748	9798.519417
749	9793.55265
750	9766.203105
751	9747.032988
752	9728.074457
753	9718.446436
754	9701.977783
755	9693.985219
756	9670.948505
757	9662.936009
758	9657.696689
759	9641.532986
760	9632.095716
761	9625.440373
762	9612.092507
763	9603.287898
764	9601.828838
765	9586.782182
766	9569.670058
767	9568.394069
768	9552.172171
769	9548.560934
770	9514.284008
771	9503.752566
772	9497.046274
773	9494.315573
774	9458.733931
775	9455.79497
776	9443.414518
777	9432.652723
778	9422.205764
779	9420.20559
780	9413.373358
781	9399.324915
782	9397.074437
783	9392.03079
784	9387.397794
785	9386.59478
786	9371.873554
787	9357.008963
788	9346.50424
789	9332.309513
790	9327.092613
791	9321.197311
792	9306.493884
793	9289.547979
794	9281.221691
795	9279.266475
796	9268.387305
797	9262.459441
798	9250.518762
799	9238.596545
800	9234.991407
801	9224.350976
802	9212.785784
803	9207.026698
804	9188.462411
805	9176.403187
806	9163.54795
807	9157.755579
808	9153.399918
809	9147.666188
810	9131.975628
811	9130.03059
812	9121.952819
813	9118.645291
814	9105.529731
815	9104.021307
816	9099.696684
817	9089.220165
818	9064.370058
819	9051.027821
820	9030.573426
821	9012.316692
822	8990.966982
823	8975.842233
824	8974.315796
825	8962.406213
826	8961.099109
827	8959.510737
828	8951.873662
829	8928.056365
830	8922.466049
831	8899.733214
832	8896.497233
833	8893.665101
834	8890.116374
835	8884.894289
836	8883.633881
837	8879.850306
838	8878.551256
839	8872.399682
840	8865.943916
841	8857.966134
842	8850.585993
843	8845.225261
844	8843.809265
845	8831.531138
846	8818.363203
847	8791.797337
848	8787.125086
849	8783.472317
850	8778.611023
851	8776.914293
852	8766.289907
853	8757.769964
854	8754.586789
855	8745.833027
856	8735.5186
857	8726.926758
858	8717.918478
859	8702.784669
860	8679.23075
861	8670.365148
862	8668.172967
863	8655.42576
864	8653.918809
865	8638.295256
866	8622.242183
867	8602.947075
868	8587.749072
869	8585.982876
870	8575.682189
871	8568.788542
872	8559.922083
873	8551.160144
874	8529.292489
875	8522.358142
876	8519.791484
877	8518.561732
878	8516.887191
879	8516.334113
880	8487.403067
881	8473.094007
882	8457.885276
883	8449.713148
884	8441.810086
885	8417.159888
886	8396.348893
887	8365.732655
888	8347.818431
889	8340.283047
890	8321.515209
891	8298.307927
892	8291.915687
893	8279.1374
894	8264.168711
895	8254.885841
896	8248.842296
897	8247.993094
898	8237.170813
899	8230.627695
900	8217.35375
901	8211.315612
902	8194.108776
903	8185.836417
904	8185.41783
905	8184.915133
906	8183.53685
907	8180.74629
908	8166.636152
909	8145.688957
910	8137.96042
911	8134.056527
912	8114.135121
913	8103.474944
914	8101.670208
915	8086.304965
916	8061.367152
917	8047.929178
918	8047.221418
919	8043.569681
920	8043.359167
921	8041.164929
922	8040.306652
923	8039.008133
924	8027.835832
925	8016.742273
926	8015.969056
927	8005.784589
928	7994.224241
929	7992.870161
930	7992.462549
931	7984.845927
932	7974.028319
933	7953.90569
934	7945.942616
935	7944.465502
936	7933.25045
937	7911.132912
938	7902.56658
939	7891.787937
940	7884.241216
941	7883.576144
942	7873.830294
943	7872.687452
944	7872.019148
945	7863.66874
946	7845.617064
947	7827.374318
948	7826.495516
949	7804.814655
950	7799.479427
951	7793.225922
952	7784.02867
953	7775.096482
954	7774.416939
955	7761.196498
956	7754.741647
957	7734.22355
958	7719.420462
959	7717.991905
960	7701.436185
961	7688.423676
962	7681.093024
963	7664.780064
964	7664.260774
965	7663.62527
966	7645.89692
967	7640.716522
968	7640.208095
969	7639.639445
970	7637.482105
971	7635.282645
972	7611.483854
973	7584.832488
974	7552.803818
975	7548.753913
976	7540.132535
977	7529.768875
978	7522.088045
979	7516.838207
980	7504.827129
981	7491.886677
982	7473.6354
983	7469.095667
984	7467.793235
985	7458.40912
986	7455.052158
987	7448.169138
988	7434.346215
989	7425.951187
990	7409.635141
991	7407.955567
992	7389.704505
993	7389.427999
994	7385.140278
995	7379.881343
996	7351.807794
997	7342.813731
998	7337.955467
999	7331.994771
