iter	RMSE
0	75.46197171
1	75.36656405
2	75.24425766
3	75.10094844
4	74.96507139
5	74.88440575
6	74.76156226
7	74.67217214
8	74.58279615
9	74.4602362
10	74.408962
11	74.36521365
12	74.32420618
13	74.2351042
14	74.14989992
15	74.08119857
16	73.97818179
17	73.81159487
18	73.81136789
19	73.71240409
20	73.58740386
21	73.45968537
22	73.35329099
23	73.20572037
24	73.20316304
25	73.15942271
26	73.09898837
27	73.04433719
28	72.96029808
29	72.9348852
30	72.82521264
31	72.74341892
32	72.72464568
33	72.62584109
34	72.55959254
35	72.50630781
36	72.47977774
37	72.43203038
38	72.27122998
39	72.21649336
40	72.16318423
41	72.11694402
42	72.09813432
43	72.01078278
44	71.93034731
45	71.805859
46	71.80560346
47	71.8053555
48	71.75990532
49	71.73655992
50	71.646893
51	71.62718531
52	71.62666602
53	71.57095788
54	71.5075455
55	71.38975557
56	71.37366673
57	71.25633994
58	71.1822498
59	71.08762371
60	71.07036817
61	70.99986875
62	70.91804955
63	70.78576679
64	70.7035041
65	70.64961261
66	70.6224098
67	70.43646341
68	70.38667014
69	70.22017264
70	70.20185382
71	70.12748997
72	70.07579382
73	70.04145082
74	70.02136591
75	69.98670984
76	69.90338269
77	69.82405572
78	69.73840461
79	69.6589629
80	69.64465662
81	69.56258335
82	69.51133669
83	69.36587873
84	69.35100708
85	69.27595957
86	69.14909023
87	69.09161972
88	69.06679834
89	69.05232925
90	68.9673967
91	68.91312945
92	68.84064935
93	68.78701094
94	68.72365478
95	68.64551949
96	68.54579124
97	68.45714183
98	68.45151033
99	68.42800991
100	68.35259358
101	68.26469103
102	68.24271682
103	68.14596039
104	68.14231015
105	67.96980741
106	67.88650896
107	67.84062439
108	67.70977062
109	67.60387053
110	67.59466766
111	67.56752635
112	67.53355023
113	67.50719104
114	67.4906208
115	67.43743305
116	67.35953069
117	67.28756266
118	67.15655655
119	67.06666194
120	67.05086538
121	66.97314022
122	66.848525
123	66.78504576
124	66.7342961
125	66.68140097
126	66.67935287
127	66.6266227
128	66.55184292
129	66.4386964
130	66.34216976
131	66.2321143
132	66.14634122
133	66.08246205
134	65.99760387
135	65.92378693
136	65.90782082
137	65.80903475
138	65.68498806
139	65.6528397
140	65.55128349
141	65.51467005
142	65.43648199
143	65.4130577
144	65.37424909
145	65.35855705
146	65.27136623
147	65.1954299
148	65.16558222
149	65.16004078
150	65.06209508
151	65.00927762
152	64.9385179
153	64.89765704
154	64.82982009
155	64.75859838
156	64.69216148
157	64.56665896
158	64.41478591
159	64.34958692
160	64.24653674
161	64.20282887
162	64.08706032
163	63.99067863
164	63.87863867
165	63.7542987
166	63.70011367
167	63.64344463
168	63.57603341
169	63.55565309
170	63.54073116
171	63.50608561
172	63.47626192
173	63.39030796
174	63.38444725
175	63.33563393
176	63.26333606
177	63.17998551
178	63.12840368
